Symbol,Name,Sector,Industry
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
SRCE,1st Source Corporation,Finance,Major Banks
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,Finance,Business Services
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCP,"Accelerated Pharma, Inc.",n/a,n/a
ACCPW,"Accelerated Pharma, Inc.",n/a,n/a
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,Finance,Savings Institutions
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ACNB,ACNB Corporation,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SQZZ,Active Alts Contrarian ETF,n/a,n/a
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,Technology,EDP Services
ACXM,Acxiom Corporation,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,Technology,Semiconductors
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,n/a,n/a
AEGN,Aegion Corp,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,n/a,n/a
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining
AMMA,"Alliance MMA, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,n/a,n/a
